codmun7,idh,habitantes,uf,cidade
1504505,0.418,27654,PA,Melgaço
2104081,0.443,10360,MA,Fernando Falcão
1300201,0.45,19921,AM,Atalaia do Norte
2106359,0.452,7792,MA,Marajá do Sena
1400704,0.453,10559,RR,Uiramutã
1502509,0.453,23717,PA,Chaves
1200328,0.469,8317,AC,Jordão
1501105,0.471,30673,PA,Bagre
1501956,0.473,33900,PA,Cachoeira do Piriá
1301951,0.477,7851,AM,Itamarati
1303601,0.479,25156,AM,Santa Isabel do Rio Negro
1301803,0.481,29689,AM,Ipixuna
1505809,0.483,62043,PA,Portel
1500701,0.484,29277,PA,Anajás
2703304,0.484,18385,AL,Inhapi
1400027,0.484,12796,RR,Amajari
2209658,0.485,5755,PI,São Francisco de Assis do Piauí
2916500,0.486,35576,BA,Itapicuru
2609154,0.487,21434,PE,Manari
2202653,0.488,5424,PI,Caxingó
2201739,0.489,6205,PI,Betânia do Piauí
1500305,0.489,39218,PA,Afuá
1503457,0.489,64053,PA,Ipixuna do Pará
2105476,0.49,16515,MA,Jenipapo dos Vieiras
1303700,0.49,21602,AM,Santo Antônio do Içá
2706000,0.493,11624,AL,Olivença
2111722,0.493,13914,MA,Satubinha
1303502,0.496,19426,AM,Pauini
2202703,0.497,27787,PI,Cocal
2202729,0.498,6153,PI,Cocal dos Alves
1302801,0.498,18224,AM,Maraã
2201051,0.499,7846,PI,Assunção do Piauí
2100154,0.5,12571,MA,Água Doce do Maranhão
1718501,0.5,4293,TO,Recursolândia
1300409,0.5,27502,AM,Barcelos
2210953,0.501,2919,PI,Tamboril do Piauí
1200351,0.501,18867,AC,Marechal Thaumaturgo
2205565,0.502,4655,PI,Lagoa do Barro do Piauí
1502806,0.502,34448,PA,Curralinho
1504950,0.502,21368,PA,Nova Esperança do Piriá
2105963,0.502,11394,MA,Lagoa Grande do Maranhão
1304104,0.502,17156,AM,Tapauá
2211506,0.503,3077,PI,Vera Mendes
2705903,0.503,5123,AL,Olho d'Água Grande
1501808,0.503,102701,PA,Breves
1505908,0.503,41135,PA,Porto de Moz
2205458,0.504,5443,PI,Joca Marques
2705002,0.504,25216,AL,Mata Grande
2202539,0.505,5868,PI,Caraúbas do Piauí
2707800,0.505,6664,AL,Roteiro
1503754,0.505,8239,PA,Jacareacanga
2701605,0.506,17722,AL,Canapi
2921500,0.506,49418,BA,Monte Santo
2924405,0.506,35048,BA,Pilão Arcado
1500206,0.506,55591,PA,Acará
1300631,0.506,19679,AM,Beruri
1505205,0.507,32512,PA,Oeiras do Pará
2204550,0.508,4562,PI,Guaribas
2206357,0.508,6613,PI,Milton Brandão
2207553,0.509,3945,PI,Paquetá
2608404,0.509,15378,PE,Jurema
1503101,0.509,33376,PA,Gurupá
1301506,0.509,20033,AM,Envira
2111029,0.509,15808,MA,São João do Carú
2607505,0.51,26349,PE,Itaíba
2110237,0.51,13386,MA,Santana do Maranhão
2912608,0.511,4044,BA,Ibiquera
2926509,0.512,14592,BA,Ribeira do Amparo
2101731,0.512,7469,MA,Belágua
2100956,0.512,32701,MA,Arame
2109403,0.512,15315,MA,Primeira Cruz
2103554,0.512,16237,MA,Conceição do Lago-Açu
2506251,0.513,8316,PB,Gado Bravo
2701100,0.513,10494,AL,Branquinha
2924207,0.513,16667,BA,Pedro Alexandre
2100303,0.513,26532,MA,Aldeias Altas
2504157,0.514,7468,PB,Casserengue
1507805,0.514,11658,PA,Senador José Porfírio
2207793,0.514,4045,PI,Pau D'Arco do Piauí
2208650,0.515,8992,PI,Queimada Nova
2201988,0.515,3875,PI,Brejo do Piauí
2209872,0.515,6042,PI,São João da Fronteira
2932457,0.515,19222,BA,Umburanas
1508308,0.515,61403,PA,Viseu
1505486,0.515,47706,PA,Pacajá
2111631,0.516,5237,MA,São Raimundo do Doca Bezerra
2108256,0.516,25144,MA,Pedro do Rosário
2111672,0.516,6719,MA,São Roberto
1302306,0.516,14317,AM,Jutaí
2700904,0.517,6704,AL,Belo Monte
2111078,0.517,18543,MA,São João do Soter
1200435,0.517,6540,AC,Santa Rosa do Purus
2702108,0.517,21698,AL,Colônia Leopoldina
2919108,0.518,8307,BA,Lamarão
2703007,0.518,15616,AL,Ibateguara
2708956,0.518,13870,AL,Senador Rui Palmeira
2110278,0.518,15846,MA,Santo Amaro do Maranhão
2103174,0.518,21622,MA,Centro Novo do Maranhão
2105351,0.518,16057,MA,Itaipava do Grajaú
2200954,0.519,2551,PI,Aroeiras do Itaim
2708105,0.519,10740,AL,Santana do Mundaú
2111789,0.519,10253,MA,Serrano do Maranhão
2102150,0.519,9188,MA,Brejo de Areia
2615805,0.519,27304,PE,Tupanatinga
1500958,0.519,31338,PA,Aurora do Pará
2208874,0.52,4477,PI,Ribeira do Piauí
1500909,0.52,45998,PA,Augusto Corrêa
2100550,0.52,6962,MA,Amapá do Maranhão
2505352,0.521,5330,PB,Damião
2100907,0.521,46440,MA,Araioses
2104651,0.521,10180,MA,Governador Newton Bello
2705606,0.521,12690,AL,Novo Lino
1303908,0.521,39299,AM,São Paulo de Olivença
1302108,0.522,2755,AM,Japurá
2205409,0.522,14354,PI,Joaquim Pires
2603207,0.522,28739,PE,Caetés
1302207,0.522,14712,AM,Juruá
2209971,0.523,7989,PI,São João do Arraial
2503555,0.523,7173,PB,Cacimbas
1506005,0.523,29866,PA,Prainha
2102507,0.523,19379,MA,Cajari
2607000,0.523,23247,PE,Inajá
2505238,0.524,6353,PB,Cuité de Mamanguape
2205201,0.524,19104,PI,Jaicós
2922805,0.524,8226,BA,Nova Itarana
2919603,0.524,11348,BA,Macajuba
2701506,0.524,9558,AL,Campo Grande
2512036,0.525,3888,PB,Poço Dantas
2513158,0.525,6558,PB,Santa Cecília
2206050,0.525,6441,PI,Massapê do Piauí
2608602,0.525,13145,PE,Lagoa do Ouro
2702355,0.525,24219,AL,Craíbas
2705804,0.525,9373,AL,Olho d'Água do Casado
2109759,0.525,7773,MA,Santa Filomena do Maranhão
2207850,0.526,3677,PI,Pavussu
2600500,0.526,43443,PE,Águas Belas
5004809,0.526,9110,MS,Japorã
2701803,0.526,9081,AL,Carneiros
1503077,0.526,26066,PA,Garrafão do Norte
2707206,0.526,14386,AL,Poço das Trincheiras
2921450,0.527,8641,BA,Mirante
2929701,0.527,17273,BA,Sátiro Dias
2708402,0.527,32260,AL,São José da Tapera
2203271,0.527,5343,PI,Curral Novo do Piauí
2602803,0.527,58378,PE,Buíque
2705507,0.527,28236,AL,Murici
2702801,0.527,12790,AL,Flexeiras
1300029,0.527,16041,AM,Alvarães
2106672,0.527,8464,MA,Milagres do Maranhão
1304260,0.527,13540,AM,Uarini
2206951,0.528,2991,PI,Novo Santo Antônio
2200053,0.528,7084,PI,Acauã
2611200,0.528,11302,PE,Poção
2202174,0.528,7279,PI,Campo Largo do Piauí
2606507,0.528,19197,PE,Iati
2110906,0.528,12210,MA,São Francisco do Maranhão
2931806,0.528,16394,BA,Tremedal
1503705,0.528,53269,PA,Itupiranga
2505279,0.529,5227,PB,Curral de Cima
2509057,0.529,8558,PB,Marcação
2205573,0.529,6758,PI,Lagoa de São Francisco
3162450,0.529,13014,MG,São João das Missões
2100105,0.529,6524,MA,Afonso Cunha
2805406,0.529,34775,SE,Poço Redondo
2514206,0.53,7630,PB,São José da Lagoa Tapada
2405900,0.53,2654,RN,João Dias
2608008,0.53,17150,PE,Jataúba
2206696,0.53,9159,PI,Murici dos Portelas
1301605,0.53,17609,AM,Fonte Boa
1300904,0.53,15629,AM,Canutama
2612901,0.53,15895,PE,São Benedito do Sul
2200251,0.531,7651,PI,Alagoinha do Piauí
2701209,0.531,10858,AL,Cacimbinhas
1508035,0.531,30959,PA,Tracuateua
1302405,0.531,46069,AM,Lábrea
2703809,0.531,23993,AL,Joaquim Gomes
2201919,0.532,5630,PI,Bom Princípio do Piauí
1507201,0.532,31989,PA,São Domingos do Capim
2107902,0.532,19019,MA,Passagem Franca
2702504,0.532,11075,AL,Dois Riachos
2709202,0.532,27715,AL,Traipu
2104073,0.532,8504,MA,Feira Nova do Maranhão
1200393,0.532,11982,AC,Porto Walter
1301654,0.532,16678,AM,Guajará
2508406,0.533,2737,PB,Lastro
2930766,0.533,9986,BA,Sítio do Quinto
2206803,0.533,8692,PI,Nossa Senhora dos Remédios
2702603,0.533,22166,AL,Feira Grande
2504033,0.533,6523,PB,Capim
2702009,0.533,10693,AL,Coité do Nóia
2706505,0.533,15245,AL,Passo de Camaragibe
2612554,0.533,14477,PE,Santa Filomena
2924678,0.533,10023,BA,Piraí do Norte
2103901,0.533,11349,MA,Duque Bacelar
2100873,0.533,15426,MA,Araguanã
2106631,0.533,16745,MA,Matões do Norte
2702553,0.534,18205,AL,Estrela de Alagoas
2902104,0.534,54379,BA,Araci
2609204,0.534,11345,PE,Maraial
2612109,0.534,10919,PE,Salgadinho
2205151,0.535,5741,PI,Jacobina do Piauí
2513505,0.535,5162,PB,Santana de Mangueira
2210391,0.535,3039,PI,São Miguel do Fidalgo
2909208,0.535,15895,BA,Coronel João Sá
2105005,0.535,28717,MA,Humberto de Campos
3103702,0.536,8439,MG,Araponga
2210623,0.536,3469,PI,Sebastião Barros
2509305,0.536,8434,PB,Mataraca
2702900,0.536,40917,AL,Girau do Ponciano
2604700,0.536,18207,PE,Correntes
2708501,0.536,34555,AL,São Luís do Quitunde
2112456,0.536,25619,MA,Turilândia
2610301,0.537,11523,PE,Paranatama
2202117,0.537,5045,PI,Campo Alegre do Fidalgo
